# #######################################################
# GEOFENCE LOG
# Statistics recorded upon aircraft deletion
# #######################################################
# 
# Parameters [Units]:
# Deletion time [s], Call sign[-],Geofence ID[-],Geofence name [-],Max intrusion [m],Intrusion LAT [deg],Intrusion LON [deg],Intrusion time [s]
# 
# simt
1559.50000000,D569,3472,3449,0.81874096,48.20167959,16.39145828,951.00000000
1586.50000000,D1077,3458,3435,2.36738188,48.20555176,16.39475847,1254.50000000
1586.50000000,D1077,3455,3432,1.89932880,48.20527199,16.39485070,1259.00000000
1601.50000000,D1762,1409,1386,2.88361135,48.18497469,16.35754353,1433.50000000
1617.50000000,D679,1803,1780,0.54607324,48.20708221,16.37678193,1543.00000000
1648.50000000,D24,1641,1618,2.24196564,48.19555794,16.35131057,389.50000000
1687.50000000,D1957,3714,3691,14.52460569,48.20285346,16.35750408,1618.50000000
1691.00000000,D1021,1504,1481,0.39295255,48.19923238,16.35952337,1633.50000000
1718.50000000,D1157,1573,1550,0.64559406,48.19418006,16.33699195,1263.50000000
1728.50000000,D1068,51,28,3.20151780,48.18053751,16.34638873,1595.00000000
1758.50000000,D1453,4458,4435,25.15686867,48.23210249,16.39621504,1121.50000000
1758.50000000,D1453,4457,4434,32.84903903,48.23107419,16.39619133,1133.00000000
1777.00000000,D1164,3376,3353,15.20727737,48.19926541,16.37495368,1760.00000000
1783.50000000,D1489,1758,1735,0.95416500,48.20620356,16.35143947,1396.00000000
1804.50000000,D988,1641,1618,2.24148492,48.19555794,16.35131056,884.50000000
1805.50000000,D1059,1758,1735,0.92033996,48.20619905,16.35144007,1597.50000000
1805.50000000,D1059,1699,1676,5.00833612,48.20420843,16.34300299,1661.50000000
1824.00000000,D1891,543,520,1.33791767,48.19495947,16.31947722,1739.50000000
1895.50000000,D1330,2,G3,0.47142406,48.14928114,16.33788250,1009.00000000
1937.50000000,D1577,1641,1618,3.62019506,48.19558811,16.35135054,1603.50000000
1972.50000000,D1822,8,G9,238.50358007,48.14419269,16.40751024,1506.50000000
2008.00000000,D822,1032,1009,27.30678143,48.16625353,16.36208246,976.00000000
2046.00000000,D2204,1576,1553,0.35670041,48.19497146,16.34191311,1995.00000000
2049.00000000,D2230,1576,1553,0.42422628,48.19497502,16.34191122,1968.00000000
2090.00000000,D1883,1641,1618,3.17897806,48.19559056,16.35134612,1939.00000000
2090.50000000,D2233,8,G9,238.90230217,48.14419500,16.40752051,2030.00000000
2103.00000000,D1826,8,G9,240.77434834,48.14420928,16.40754194,1443.50000000
2130.50000000,D181,8,G9,241.70854104,48.14421613,16.40755478,266.50000000
2131.50000000,D2196,3724,3701,2.82416083,48.21227196,16.35855891,1921.00000000
2158.00000000,D1686,10,G11,14.88846927,48.16161297,16.40759863,2139.00000000
2161.50000000,D1773,3472,3449,2.65637359,48.20165772,16.39143485,1383.50000000
2161.50000000,D2147,4458,4435,22.88139572,48.23204132,16.39632644,1696.50000000
2161.50000000,D2147,4457,4434,31.54187528,48.23102416,16.39623093,1704.00000000
2203.50000000,D1278,2,G3,0.47142406,48.14928114,16.33788250,975.00000000
2208.50000000,D1190,2065,2042,1.14693049,48.21088466,16.34230168,1845.00000000
2213.50000000,D1427,3335,3312,0.92691504,48.19841431,16.38499063,1584.00000000
2259.50000000,D1501,10,G11,14.80915750,48.16161211,16.40759644,2241.00000000
2268.00000000,D1924,3472,3449,0.59791193,48.20167164,16.39140955,2243.00000000
2268.50000000,D2141,642,619,0.06472899,48.20223168,16.31080103,1864.00000000
2275.50000000,D2382,3724,3701,1.51229437,48.21230537,16.35858547,2237.00000000
2285.50000000,D1617,2178,2155,0.60117816,48.21653076,16.33215269,1874.00000000
2285.50000000,D1617,3819,3796,0.11756476,48.22694126,16.36170540,2212.50000000
2302.00000000,D1780,1721,1698,3.39952584,48.19661827,16.34171051,1840.50000000
2342.50000000,D2306,3714,3691,7.37372047,48.20285815,16.35740046,1800.50000000
2377.50000000,D2247,44,21,2.46743513,48.17724439,16.34304636,2046.50000000
2395.50000000,D2709,3724,3701,0.40302420,48.21229505,16.35859759,2267.50000000
2402.50000000,D2441,429,406,1.48635311,48.18978653,16.30174276,2068.00000000
2430.00000000,D1608,3179,3156,1.32994716,48.18119388,16.37397704,2068.50000000
2445.00000000,D2628,1637,1614,12.84270598,48.19340121,16.35306868,2437.50000000
2446.00000000,D2639,1723,1700,0.19428159,48.19790453,16.34066929,2162.50000000
2485.00000000,D1835,1641,1618,0.16220333,48.19553380,16.35126507,2103.50000000
2534.00000000,D2512,543,520,1.35721905,48.19495750,16.31947088,2470.00000000
2697.50000000,D1526,3724,3701,2.58679548,48.21227318,16.35856242,2379.50000000
2705.50000000,D2376,4419,4396,1.52332947,48.22516997,16.39500491,2174.50000000
2718.50000000,D3142,543,520,1.47598476,48.19495369,16.31946140,2654.50000000
2739.00000000,D2002,1424,1401,1.17446646,48.19126676,16.35973558,2132.50000000
2762.00000000,D3301,3887,3864,0.57772968,48.23253387,16.35615401,2690.00000000
2766.00000000,D1767,429,406,1.51002740,48.18978609,16.30174303,1579.50000000
2766.00000000,D1767,1641,1618,2.25044344,48.19555788,16.35131065,2148.00000000
2798.00000000,D3041,589,566,4.42435318,48.19749267,16.30697064,2399.00000000
2815.00000000,D1311,1641,1618,2.24271226,48.19555793,16.35131058,1655.00000000
2848.50000000,D1976,1814,1791,1.11076237,48.20955353,16.37352914,2093.50000000
2875.00000000,D2829,4094,4071,5.27037597,48.22981338,16.36140617,2875.00000000
2899.00000000,D2018,1814,1791,0.99443183,48.20955571,16.37352722,2343.50000000
2905.50000000,D3189,3472,3449,1.69642629,48.20166396,16.39142186,2875.00000000
2954.50000000,D2653,2178,2155,0.38298025,48.21654692,16.33215270,2192.50000000
2982.00000000,D2390,1032,1009,35.54656102,48.16632182,16.36212888,2287.00000000
2997.00000000,D2277,8,G9,239.28101570,48.14419822,16.40752229,1834.00000000
3008.50000000,D2243,429,406,1.47586728,48.18979111,16.30174315,1959.50000000
